age,workclass,fnlwgt
25,Private,226802
38,Private,89814
28,Local-gov,336951
44,Private,160323
18,?,103497
34,Private,198693
29,?,227026
63,Self-emp-not-inc,104626
24,Private,369667
55,Private,104996
65,Private,184454
36,Federal-gov,212465
26,Private,82091
58,?,299831
48,Private,279724
43,Private,346189
20,State-gov,444554
43,Private,128354
37,Private,60548
40,Private,85019
34,Private,107914
34,Private,238588
72,?,132015
25,Private,220931
25,Private,205947
45,Self-emp-not-inc,432824
22,Private,236427
23,Private,134446
54,Private,99516
32,Self-emp-not-inc,109282
46,State-gov,106444
56,Self-emp-not-inc,186651
24,Self-emp-not-inc,188274
23,Local-gov,258120
26,Private,43311
65,?,191846
36,Local-gov,403681
22,Private,248446
17,Private,269430
20,Private,257509
65,Private,136384
44,Self-emp-inc,120277
36,Private,465326
29,Private,103634
20,State-gov,138371
28,Private,242832
39,Private,290208
54,Private,186272
52,Private,201062
56,Self-emp-inc,131916
18,Private,54440
39,Private,280215
21,Private,214399
22,Private,54164
38,Private,219446
21,Private,110677
63,Private,145985
34,Local-gov,382078
42,Self-emp-inc,170721
33,Private,269705
30,Private,101135
39,Private,118429
26,Private,31208
33,Private,281384
47,Local-gov,171807
41,Private,109912
41,Self-emp-inc,445382
19,Private,105460
46,Private,170338
43,Private,102606
55,Private,323887
46,Private,175622
30,Private,229636
21,Private,388946
46,Private,269034
17,?,165361
41,Private,75012
69,Self-emp-inc,174379
50,Private,312477
20,Private,72055
45,Self-emp-inc,67001
23,Private,213734
24,Private,83141
44,Self-emp-inc,223881
31,Self-emp-not-inc,113752
43,Private,170482
20,Federal-gov,244689
55,Private,160631
24,Federal-gov,228724
41,?,38434
59,Private,292946
49,Federal-gov,77443
33,Private,176410
59,Federal-gov,98984
34,Private,198751
20,Private,479296
25,Private,235218
49,Private,164877
59,Private,272087
20,Private,169699
51,?,189762
33,Private,202191
22,Private,212261
58,Self-emp-not-inc,301568
52,Local-gov,155233
36,Private,75826
41,Local-gov,201520
28,Private,154236
19,Private,289227
18,Private,217439
18,Private,179020
28,Private,149624
29,Private,337266
20,?,30796
40,Private,103541
26,Private,206721
46,Private,96773
23,Private,200967
44,Private,180019
43,Private,179866
31,Local-gov,198770
18,Private,219256
19,Private,248730
41,Private,110732
41,Private,181020
69,Private,183791
48,Federal-gov,42972
28,Private,134813
27,Self-emp-not-inc,115438
41,Private,239296
41,Private,428420
24,Private,247846
20,?,334105
42,Self-emp-inc,100793
57,Private,244478
30,Private,142921
36,Private,182863
49,Private,171128
33,Private,145402
23,Private,306309
46,Private,83822
18,Private,262118
40,Private,155972
43,Self-emp-inc,214503
34,Private,159303
47,Self-emp-not-inc,174995
44,Private,26669
33,Private,177727
55,Private,124771
19,Private,456736
28,Private,216604
27,Private,221561
50,Private,114564
22,Private,315476
40,State-gov,67874
25,Private,126110
26,Local-gov,102264
22,Private,537222
42,Private,113732
38,Self-emp-inc,93225
55,Private,43064
32,Private,136921
22,Private,388885
29,Private,142249
46,State-gov,56841
31,Private,156493
58,Self-emp-not-inc,159021
42,Private,190910
18,Private,41879
58,Local-gov,137249
54,Private,236157
34,Private,189759
26,Private,239877
61,Private,21175
48,Local-gov,67229
36,Private,236391
24,Private,325596
40,Private,83411
33,Self-emp-inc,154227
37,Private,248010
34,Private,198613
56,Self-emp-inc,321529
28,?,168524
37,Private,203079
44,Private,284652
64,?,201368
54,Private,59840
23,Private,52753
34,State-gov,513100
22,Private,199266
33,Private,196385
39,Private,163205
47,Private,411047
79,?,48574
26,Private,209440
31,Private,56964
44,Private,299197
42,Self-emp-inc,240628
19,Private,355313
27,Private,132267
51,Local-gov,174861
28,Self-emp-inc,142443
57,Private,26716
45,Local-gov,185588
50,Private,175029
34,Self-emp-inc,34848
45,Private,411273
73,Local-gov,143437
34,Private,357145
31,Private,236861
19,Private,53355
25,Private,29106
38,Federal-gov,213274
39,Private,22463
23,Private,180497
49,Private,37306
33,Federal-gov,137814
21,Private,447488
31,Private,220915
23,Private,42251
34,Private,162312
25,Private,77698
39,Private,282951
52,Self-emp-inc,311259
63,Local-gov,65479
41,Private,277256
46,Private,312088
53,Local-gov,169719
25,?,270276
77,?,172744
18,Private,96869
38,Private,237943
55,Private,119751
34,Private,236861
80,Self-emp-not-inc,201092
34,Private,147215
52,Private,152373
42,Private,227968
26,Private,362617
31,Private,103435
25,Local-gov,281412
55,Self-emp-not-inc,105239
19,Private,230165
62,Self-emp-not-inc,177493
22,Federal-gov,104443
39,?,110342
35,Private,143385
28,Private,107189
47,Private,212944
44,State-gov,138634
21,Private,99970
35,Private,203717
24,Private,313956
42,Federal-gov,177937
28,Private,193868
21,Private,250939
62,Federal-gov,57629
39,Private,281768
30,State-gov,260782
72,Self-emp-not-inc,243769
50,Private,109937
28,Local-gov,134890
29,Private,100293
26,Private,132179
27,Private,116372
29,Private,255412
61,?,195789
29,Private,342400
21,?,65481
31,Private,169085
25,Private,177221
58,Private,65325
64,Private,118944
46,State-gov,149337
53,?,237868
19,Private,106183
42,Private,226388
18,Private,220754
58,Self-emp-inc,204021
20,Private,347391
35,Federal-gov,413930
32,Private,174201
23,Private,145917
31,Private,241797
33,Private,265168
41,Private,171234
22,Private,178452
46,Private,157857
61,Federal-gov,512864
30,Private,296462
42,Private,171615
63,Private,214071
26,Private,172421
42,Private,195488
23,Private,316841
25,Private,236267
30,Private,236543
23,Private,318483
34,Self-emp-not-inc,163756
30,Private,238186
39,Private,329980
30,Private,169269
38,Local-gov,34744
26,Private,98114
20,Private,109667
37,Local-gov,263690
33,Private,147430
24,Private,224238
42,Self-emp-inc,212894
51,Self-emp-not-inc,136708
56,Local-gov,38573
22,Private,197200
52,Self-emp-not-inc,182796
44,Private,184527
34,Private,145231
51,Private,43354
20,?,318865
19,Private,355712
37,Private,98776
68,Private,257557
22,Private,102258
56,Self-emp-inc,170287
37,Private,243409
52,Private,55608
26,Private,248057
33,Private,95530
45,Local-gov,54038
18,Private,161245
43,Self-emp-not-inc,388725
64,Self-emp-not-inc,71807
18,Private,228216
20,?,303121
57,Private,78020
41,Private,249254
34,Private,87218
19,Private,304299
44,Private,196234
56,Private,197875
36,Self-emp-inc,48063
48,Private,253596
29,Private,39257
33,Private,56150
31,Private,179415
39,Private,252445
66,Private,275918
27,Private,106562
39,Private,198654
59,Private,107318
26,Private,181896
31,Private,106014
45,?,319993
23,Private,197997
36,Local-gov,173542
34,Private,207564
32,Private,224462
37,Private,123361
33,Private,90409
50,Self-emp-not-inc,165001
32,Federal-gov,149573
35,Private,249456
37,Private,149898
44,Private,292985
57,Private,50223
29,Local-gov,400074
55,Private,197399
43,Self-emp-inc,209547
43,Private,52433
45,Self-emp-not-inc,355978
33,Self-emp-not-inc,48214
26,Private,190873
23,Private,278390
41,Private,203217
24,Private,279175
47,Self-emp-not-inc,194590
34,Self-emp-not-inc,198813
40,Private,187294
28,Private,302903
24,Private,154835
73,?,73402
23,Private,100345
43,Self-emp-not-inc,126320
26,Private,142226
58,Self-emp-not-inc,112076
52,Private,225339
29,Private,211208
47,Private,200808
49,Private,220618
40,Private,210493
62,Self-emp-not-inc,369734
49,Private,27898
50,Private,138193
31,Private,224234
48,Local-gov,188741
24,Private,183772
41,?,155041
37,Private,79586
45,Private,355781
63,?,156158
36,Private,116358
45,Private,59287
41,Private,138868
26,Private,185885
17,Private,40299
27,Private,500068
43,Private,51494
35,Private,179481
38,Private,365907
26,Private,284343
28,Private,204862
38,Private,272476
36,Private,175130
33,Private,118941
19,Private,164339
22,?,213291
42,Federal-gov,55457
50,Private,280292
30,Private,446894
37,State-gov,67083
54,Self-emp-inc,159219
52,Self-emp-inc,168539
65,Private,88145
33,Private,150309
25,Private,122999
24,Private,302195
26,Private,210982
39,Private,177140
59,Private,113838
29,Private,97165
47,Private,104301
23,?,192028
64,Self-emp-inc,115931
21,Private,147280
32,Private,185433
26,Private,599057
19,?,50626
62,Self-emp-not-inc,71467
32,Private,183977
75,?,26586
45,Self-emp-not-inc,196858
31,Private,160594
32,Private,65278
24,Private,102258
25,Private,196947
41,Self-emp-not-inc,233150
18,Private,42857
44,Private,118059
40,Private,169262
27,Private,95108
23,Private,161092
21,Private,345253
37,State-gov,111275
65,Self-emp-not-inc,178878
43,Federal-gov,157237
45,Private,155664
24,State-gov,322658
24,Private,208503
19,Local-gov,223326
37,Private,20308
24,Private,124751
34,Private,113364
50,State-gov,196900
36,Private,168170
39,Private,205338
44,Self-emp-not-inc,98806
45,State-gov,226452
32,State-gov,479179
47,Federal-gov,471990
50,Private,44728
32,Private,33117
19,Private,264876
19,?,47235
28,State-gov,293628
28,Private,193122
39,Federal-gov,149347
21,Private,129172
73,Self-emp-not-inc,151255
39,Private,98886
25,Private,238673
31,Private,137991
51,Private,85942
39,Private,85783
31,Private,174789
21,Private,457162
46,Private,176026
73,Private,88594
41,Private,311101
20,Private,273989
27,Private,370242
24,Private,194630
20,Private,313817
39,Private,195843
27,Private,203160
33,Private,175856
33,Private,75435
36,State-gov,291676
55,Private,192869
19,Private,124464
35,Private,98776
34,Private,107960
62,State-gov,312286
33,Self-emp-not-inc,48520
39,Private,224541
36,Local-gov,237713
41,Private,309990
39,Self-emp-not-inc,37019
38,?,48976
18,Private,170183
61,Private,142988
20,Federal-gov,163205
35,Self-emp-not-inc,455379
27,Private,104423
66,Private,104936
21,Private,542610
20,Private,208117
34,Private,105141
63,Private,156120
20,?,38455
31,Private,213339
41,Private,177989
64,State-gov,107732
32,Private,312403
30,Local-gov,176992
36,Self-emp-not-inc,84294
22,Private,143062
53,Local-gov,139671
50,Private,116814
36,Private,37778
41,Self-emp-inc,240900
55,Private,202652
38,Private,52187
28,Private,349751
24,Local-gov,238384
60,Private,209844
54,Private,333301
27,Self-emp-inc,214974
30,Private,113453
54,Private,162238
44,Private,98779
52,Private,165001
18,Private,78528
55,Private,353881
35,Private,251396
37,Private,178100
22,Private,416165
45,Private,177536
38,Private,203717
48,Private,107231
35,Private,106448
21,Private,196816
37,Self-emp-not-inc,191342
18,Private,170194
26,Private,113587
48,Self-emp-inc,72425
51,Private,217480
52,Private,120914
32,State-gov,33945
39,Self-emp-not-inc,199753
51,Private,144284
54,Private,53833
21,Private,151158
43,Private,125577
32,Private,242323
31,State-gov,195181
73,?,145748
26,Private,341672
35,Private,116369
73,Private,113446
25,Self-emp-not-inc,121285
58,Self-emp-not-inc,25124
32,Private,182274
28,Private,103548
41,Self-emp-not-inc,38434
53,Self-emp-not-inc,317313
49,Private,177543
55,Private,139834
29,Private,118478
28,Self-emp-not-inc,147951
44,Private,201734
41,Private,198196
26,Private,141876
23,Private,325179
37,Self-emp-not-inc,143774
23,Private,152328
33,Private,479600
44,Private,180599
21,Private,448026
36,Private,300333
44,Local-gov,184105
23,Private,202084
26,Private,29515
32,Private,247328
31,Private,188246
50,Local-gov,105788
18,Self-emp-inc,352640
49,Private,132576
59,Private,128829
38,Private,93140
50,Self-emp-inc,155965
51,Self-emp-inc,335902
22,Private,158522
54,Private,174806
37,Private,32207
31,Private,43607
67,State-gov,168224
43,?,180318
21,Private,311376
30,Private,101562
32,Local-gov,267859
36,Private,86143
33,Local-gov,217304
37,Private,410034
29,Private,293073
18,?,39493
26,Private,247425
51,Private,128338
39,Private,189344
18,Private,366154
52,Private,163051
31,Private,437200
45,Private,323798
38,Private,182570
21,Private,200318
33,Private,48520
39,Private,130007
31,Private,166248
43,Private,203554
64,?,192715
33,Self-emp-inc,291333
49,Self-emp-not-inc,39140
41,Private,266439
55,Self-emp-not-inc,126840
52,Private,166419
42,Private,287129
24,Private,206827
42,Private,173888
41,State-gov,253250
35,Private,337239
71,?,113445
54,Federal-gov,201127
24,Private,403107
59,?,179078
30,?,126402
57,Federal-gov,223892
58,State-gov,191318
32,Private,394708
22,Private,119474
20,Private,419984
60,?,164730
51,Private,190678
26,Local-gov,197897
33,Private,286675
19,Private,191986
50,Self-emp-not-inc,90525
32,Private,56150
51,Local-gov,248327
18,Private,90860
35,Federal-gov,104858
22,?,228686
46,Private,196707
37,Private,29430
45,Private,54038
63,Private,281025
53,Private,258832
24,Private,131220
65,?,190454
43,Private,315971
47,Private,265097
41,Private,185057
27,Private,169557
35,Self-emp-inc,333636
19,Private,181652
47,Private,34307
25,Federal-gov,198813
59,Local-gov,240030
28,Private,226089
17,Private,190941
21,Private,160261
31,Private,208458
49,Private,112761
48,Local-gov,67716
60,Self-emp-not-inc,121076
33,Self-emp-not-inc,182556
40,Private,231348
42,Private,55395
34,Private,344073
38,Federal-gov,318912
58,Self-emp-not-inc,237546
20,Private,346341
52,Private,305090
22,Local-gov,198478
24,Private,321435
39,Private,259716
41,Private,191547
37,?,171482
56,Private,225927
21,Private,256504
29,Private,168526
45,Private,44489
44,Local-gov,159449
54,Private,387540
24,Private,314819
40,Private,34722
43,State-gov,125831
20,?,239805
41,Self-emp-not-inc,264663
32,Private,294121
31,Private,83912
26,Private,241626
50,State-gov,137815
62,Self-emp-inc,153891
24,Private,83774
58,Private,199067
44,Self-emp-inc,57233
44,Private,211517
37,Self-emp-inc,132879
65,Self-emp-not-inc,72776
33,Private,54318
34,?,143582
56,Self-emp-not-inc,174564
35,Private,179579
33,Private,187618
35,Private,186819
47,Self-emp-not-inc,60087
35,Self-emp-not-inc,28987
56,Private,187355
29,Self-emp-inc,218555
53,Self-emp-inc,94214
42,Private,204729
20,?,281668
24,Private,236696
33,Private,179747
42,Private,187322
38,State-gov,116975
32,Private,205950
20,Self-emp-not-inc,190968
32,Private,160458
28,Local-gov,190911
51,Private,85382
41,Local-gov,129793
37,Local-gov,270181
23,Private,243723
40,Private,168113
47,Private,652784
46,Self-emp-not-inc,315984
24,Private,311311
40,Private,111336
30,Self-emp-not-inc,100252
41,State-gov,186990
37,State-gov,241633
49,Federal-gov,252616
41,Federal-gov,46366
52,Local-gov,266138
23,Private,32732
34,Private,361978
25,State-gov,77661
44,Self-emp-inc,60087
31,Local-gov,197550
53,Private,170701
62,Private,159822
35,Private,211494
30,Federal-gov,340899
48,State-gov,224752
36,Private,102568
32,Private,220690
22,Private,303170
17,?,143331
19,Private,192162
26,Private,201635
20,?,55263
56,State-gov,133728
45,Private,347025
23,Private,110998
31,Private,122347
30,Private,127875
42,Private,167534
27,State-gov,152560
37,Private,265144
31,Private,302679
33,Private,290763
64,Private,86837
32,Private,147118
62,?,103575
37,Private,169469
25,Private,189334
49,Private,139571
36,Private,111545
67,Private,72776
54,Private,307973
45,Local-gov,211666
30,Private,143766
39,State-gov,112812
57,Private,43290
57,Private,111385
23,Self-emp-not-inc,145744
49,Local-gov,126754
46,State-gov,54260
41,State-gov,34895
44,Private,166740
25,Private,143062
34,Local-gov,191957
24,Private,109456
32,Private,198183
27,Local-gov,157449
67,Private,53874
36,Private,191754
40,Private,320071
24,Private,164574
46,Private,185870
44,State-gov,165745
23,Self-emp-not-inc,40323
46,Private,199378
31,Private,289889
21,Local-gov,152200
61,Private,198231
71,Self-emp-not-inc,28865
42,Private,26915
27,?,108926
21,State-gov,204034
21,Private,243368
28,Local-gov,191088
27,Local-gov,194515
32,Private,28984
47,Private,125892
22,Private,37932
56,Private,249751
20,Private,191948
30,Private,97306
22,Private,176178
28,Private,142764
50,Private,148431
66,State-gov,148380
38,Private,314890
62,Private,177493
36,Federal-gov,327435
47,Private,275967
25,Private,176520
26,Private,186463
37,Private,50380
70,Self-emp-not-inc,323987
52,Private,192445
70,Private,142851
19,State-gov,42750
23,Private,199011
37,Private,98644
37,Private,173963
45,State-gov,284763
29,Private,108775
56,Self-emp-not-inc,233312
50,Private,197826
20,Private,123007
26,Private,264012
41,Self-emp-inc,214247
21,Private,200121
48,Self-emp-not-inc,138069
22,Private,33551
37,State-gov,89083
47,Private,369438
61,Private,93997
47,Local-gov,169699
37,Private,115429
46,State-gov,96652
42,Self-emp-not-inc,103759
41,Private,54422
33,Local-gov,107215
24,Private,194630
27,Private,102142
40,Federal-gov,134638
56,Private,46920
35,Federal-gov,207973
24,Private,208946
73,Self-emp-not-inc,252431
36,Private,251730
31,Private,301251
50,?,137632
36,Private,197274
37,Private,106043
26,Private,195636
20,Private,237956
58,Private,31532
45,State-gov,276157
33,?,207668
31,Private,142921
44,Private,217039
19,Local-gov,259169
54,Private,409173
31,State-gov,73161
27,Private,241431
36,Private,151764
47,Federal-gov,131726
35,Private,334291
42,Private,67243
45,Private,370261
70,Private,573446
27,Local-gov,189775
36,Private,312206
23,Private,86939
25,Private,221757
45,Self-emp-not-inc,213140
24,Private,308673
90,Private,149069
50,Private,69345
37,Private,112158
31,Private,386299
17,Private,61838
26,Private,290286
41,Private,143069
50,Self-emp-inc,145714
45,Self-emp-not-inc,285570
54,Self-emp-not-inc,399705
54,Private,186224
38,Private,172918
22,Private,198270
43,Private,307767
19,?,208630
30,Private,169002
31,?,186369
42,Private,99203
48,Private,197836
56,Private,140136
21,Local-gov,402230
45,Private,167159
37,Private,116409
38,Local-gov,105161
34,Private,263908
29,Private,189565
24,Private,224059
79,?,27457
35,Private,240988
39,Self-emp-not-inc,41017
73,Self-emp-not-inc,214498
57,Private,186361
35,Self-emp-inc,165799
60,Private,266983
19,?,165416
54,Private,226497
53,Self-emp-not-inc,99516
23,Private,177287
57,Self-emp-not-inc,27385
27,Self-emp-not-inc,147452
25,Private,144334
38,Private,217926
48,Private,153312
24,Private,126822
67,Self-emp-inc,51415
20,Private,171886
38,Private,216319
54,Private,279337
20,Self-emp-not-inc,115085
57,Private,453233
34,Federal-gov,400943
34,Private,226883
80,Private,138050
40,Private,204585
19,Local-gov,220558
35,Private,198841
21,Private,67244
59,Local-gov,75785
53,Private,85423
41,Self-emp-not-inc,134724
59,Private,109567
21,?,132053
52,Private,157413
48,Private,238567
24,Private,153133
49,Private,186256
19,Private,260265
50,Private,131819
39,Private,141584
25,Private,245121
66,Private,22502
30,Private,23778
49,Private,380922
40,Self-emp-not-inc,173651
38,Private,191137
25,Private,217006
51,State-gov,22211
23,Local-gov,57711
60,Self-emp-not-inc,123190
44,Private,110028
53,Self-emp-not-inc,174102
66,Self-emp-not-inc,183249
18,?,240183
44,Local-gov,49665
38,Private,210438
30,Private,53373
36,Private,295706
38,Local-gov,273457
31,Federal-gov,165949
26,Private,142152
23,Private,189203
58,State-gov,179089
44,Self-emp-not-inc,53956
59,Self-emp-inc,77816
36,Local-gov,74593
42,Private,196158
17,Private,28544
59,Local-gov,662460
22,Private,152328
40,Private,120277
36,Private,180278
19,?,426589
49,Private,111558
18,?,243203
38,Self-emp-not-inc,195686
48,Private,226696
53,?,118058
33,Private,172237
34,Self-emp-not-inc,114074
41,Federal-gov,171589
20,?,184271
58,Local-gov,218724
52,Private,134190
45,Local-gov,181964
37,Private,385330
48,Private,242406
40,Federal-gov,107584
29,Private,127892
33,Private,160261
51,?,285200
48,Private,153254
36,Self-emp-not-inc,294672
31,Private,145924
41,Self-emp-not-inc,280005
29,Federal-gov,66893
20,Private,47039
53,Federal-gov,36186
37,Private,159383
28,Private,192010
27,Private,216479
57,?,274680
23,Private,211345
25,Private,203561
63,Private,170815
65,Self-emp-not-inc,200565
77,Private,89655
32,Private,234195
40,Private,98466
67,Private,191437
35,Private,77792
24,Local-gov,134181
53,State-gov,195690
37,Self-emp-inc,94869
44,State-gov,267464
25,?,257006
17,Private,81010
47,Private,54260
62,Federal-gov,171995
39,Private,245665
18,?,35855
32,State-gov,189838
25,Private,629900
30,Private,84119
47,Private,47343
40,Private,103614
38,Private,303092
41,State-gov,124520
21,Private,220857
32,State-gov,247481
54,Private,283281
31,Private,25610
42,Private,13769
23,Private,283969
18,Private,185522
65,?,173309
37,Private,144005
53,State-gov,205949
50,Private,158948
64,Private,240357
55,Private,243929
63,Private,201700
53,Private,208402
18,Private,120599
33,Private,231826
62,Private,499971
56,Private,227972
58,State-gov,299680
33,Private,231822
58,Private,185459
44,Private,90582
